#time,accel_x,accel_y,accel_z
602.510810,-444.123565,-9696.697840,766.095498
602.511134,0.000000,-9622.677246,0.000000
602.511458,-148.041188,-9770.718434,-153.219100
602.511783,-296.082377,-9844.739029,0.000000
602.512107,-296.082377,-9474.636058,229.828649
602.512431,-222.061783,-9252.574275,0.000000
602.512756,0.000000,-9696.697840,383.047749
602.513080,0.000000,-9622.677246,0.000000
602.513404,0.000000,-9548.656652,-229.828649
602.513728,0.000000,-9474.636058,76.609550
602.514053,-222.061783,-9474.636058,0.000000
602.514377,-148.041188,-9622.677246,0.000000
602.514701,-222.061783,-9548.656652,76.609550
602.515026,148.041188,-9326.594869,0.000000
602.515350,148.041188,-9770.718434,-153.219100
602.515674,148.041188,-9622.677246,-76.609550
602.515999,-148.041188,-9696.697840,-153.219100
602.516323,-148.041188,-9918.759623,-229.828649
602.516647,0.000000,-9918.759623,0.000000
602.516971,296.082377,-10066.800811,-153.219100
602.517296,-222.061783,-9326.594869,76.609550
602.517620,74.020594,-9400.615463,153.219100
602.517944,222.061783,-9548.656652,536.266849
602.518269,148.041188,-9622.677246,0.000000
602.518593,74.020594,-9918.759623,-306.438199
602.518917,74.020594,-9548.656652,-229.828649
602.519241,296.082377,-9548.656652,0.000000
602.519566,444.123565,-9918.759623,-536.266849
602.519890,444.123565,-9548.656652,229.828649
602.520214,296.082377,-10214.842000,0.000000
602.520539,0.000000,-9622.677246,-229.828649
602.520863,0.000000,-9548.656652,0.000000
602.521187,0.000000,-9622.677246,0.000000
602.521511,74.020594,-9474.636058,0.000000
602.521836,888.247130,-9474.636058,0.000000
602.522160,666.185348,-9770.718434,0.000000
602.522484,888.247130,-9770.718434,842.705048
602.522809,296.082377,-9622.677246,229.828649
602.523133,-370.102971,-10066.800811,229.828649
602.523457,-1110.308913,-9474.636058,-229.828649
602.523781,-1184.329507,-9252.574275,0.000000
602.524106,-518.144159,-9696.697840,306.438199
602.524430,740.205942,-9696.697840,459.657299
602.524754,1110.308913,-9622.677246,1225.752797
602.525079,666.185348,-8956.491898,459.657299
602.525403,222.061783,-9474.636058,153.219100
602.525727,444.123565,-9548.656652,0.000000
602.526051,444.123565,-9622.677246,-383.047749
602.526376,-296.082377,-9992.780217,0.000000
602.526700,-888.247130,-10214.842000,-306.438199
602.527024,-666.185348,-9918.759623,229.828649
602.527349,-370.102971,-9770.718434,229.828649
602.527673,518.144159,-9770.718434,612.876398
602.527997,1554.432478,-9696.697840,1302.362347
602.528322,2220.617826,-9770.718434,1685.410096
602.528646,2368.659014,-9696.697840,1685.410096
602.528970,2072.576638,-9696.697840,1225.752797
602.529294,2146.597232,-9326.594869,766.095498
602.529619,1406.391290,-9252.574275,229.828649
602.529943,444.123565,-9770.718434,-153.219100
602.530267,0.000000,-10066.800811,-153.219100
602.530592,-148.041188,-10066.800811,-153.219100
602.530916,444.123565,-9548.656652,383.047749
602.531240,1480.411884,-9548.656652,1149.143247
602.531564,2812.782580,-9474.636058,1915.238745
602.531889,4589.276840,-9474.636058,2451.505594
602.532213,4959.379811,-9474.636058,2528.115143
602.532537,4811.338623,-9844.739029,3064.381992
602.532862,4589.276840,-10288.862594,2528.115143
602.533186,3849.070898,-10436.903782,2068.457845
602.533510,2516.700203,-10066.800811,1455.581446
602.533834,1554.432478,-10436.903782,1072.533697
602.534159,888.247130,-10584.944971,689.485948
602.534483,1110.308913,-9992.780217,1149.143247
602.534807,1776.494261,-9474.636058,2298.286494
602.535132,3552.988522,-9252.574275,3140.991542
602.535456,4811.338623,-9326.594869,3677.258390
602.535780,5107.421000,-8956.491898,4290.134789
602.536104,5107.421000,-9622.677246,4749.792088
602.536429,4515.256246,-10362.883188,4519.963438
602.536753,2738.761985,-9918.759623,4213.525239
602.537077,962.267725,-9178.553681,3370.820191
602.537402,-148.041188,-9178.553681,2681.334243
602.537726,-1628.453072,-9178.553681,2221.676944
602.538050,-1628.453072,-8142.265362,2298.286494
602.538374,-740.205942,-7254.018232,2221.676944
602.538699,0.000000,-6809.894666,2145.067394
602.539023,814.226536,-6513.812290,2451.505594
602.539347,2072.576638,-6217.729913,2987.772442
602.539672,3404.947333,-6735.874072,3524.039291
602.539996,4367.215058,-8142.265362,3983.696590
602.540320,4589.276840,-9326.594869,4749.792088
602.540645,4441.235652,-10732.986159,4673.182538
602.540969,3552.988522,-11917.315666,4136.915689
602.541293,1702.473667,-12805.562797,3753.867940
602.541617,-296.082377,-12805.562797,2528.115143
602.541942,-2220.617826,-12139.377449,1915.238745
602.542266,-2442.679609,-11103.089130,1685.410096
602.542590,-1480.411884,-9474.636058,842.705048
602.542915,518.144159,-8068.244768,1302.362347
602.543239,1776.494261,-7476.080014,1455.581446
602.543563,2960.823768,-7550.100608,1225.752797
602.543887,3775.050304,-7772.162391,1378.971896
602.544212,4145.153275,-8660.409521,1685.410096
602.544536,3478.967927,-9844.739029,2068.457845
602.544860,2368.659014,-11621.233289,2834.553343
602.545185,814.226536,-12361.439231,3140.991542
602.545509,-222.061783,-12139.377449,1838.629195
602.545833,0.000000,-11843.295072,1608.800546
602.546157,666.185348,-10955.047942,842.705048
602.546482,1776.494261,-10362.883188,1072.533697
602.546806,2368.659014,-9252.574275,229.828649
602.547130,2664.741391,-8586.388927,229.828649
602.547455,2590.720797,-8216.285956,306.438199
602.547779,2368.659014,-8142.265362,-229.828649
602.548103,1554.432478,-7772.162391,-153.219100
602.548427,2146.597232,-7994.224174,-229.828649
602.548752,3997.112087,-9326.594869,612.876398
602.549076,5847.626942,-11325.150913,1532.190996
602.549400,6513.812290,-12287.418637,2145.067394
602.549725,5477.523971,-12583.501014,2068.457845
602.550049,2960.823768,-12287.418637,1378.971896
602.550373,518.144159,-11695.253884,919.314598
602.550698,-1480.411884,-10658.965565,383.047749
602.551022,-740.205942,-9548.656652,536.266849
602.551346,814.226536,-8290.306550,842.705048
602.551670,2368.659014,-7846.182985,919.314598
602.551995,2442.679609,-7031.956449,459.657299
602.552319,1776.494261,-5921.647536,0.000000
602.552643,962.267725,-5995.668130,-459.657299
602.552968,2368.659014,-7031.956449,306.438199
602.553292,3404.947333,-8068.244768,1455.581446
602.553616,4811.338623,-10288.862594,2451.505594
602.553940,4441.235652,-11621.233289,2451.505594
602.554265,2812.782580,-11177.109724,1838.629195
602.554589,1036.288319,-10584.944971,1685.410096
602.554913,74.020594,-10362.883188,1915.238745
602.555238,962.267725,-11473.192101,1991.848295
602.555562,814.226536,-11621.233289,2528.115143
602.555886,222.061783,-10658.965565,2298.286494
602.556210,-222.061783,-9548.656652,766.095498
602.556535,444.123565,-8216.285956,536.266849
602.556859,2220.617826,-7846.182985,919.314598
602.557183,3256.906145,-8956.491898,1302.362347
602.557508,2960.823768,-10584.944971,1838.629195
602.557832,1332.370696,-9548.656652,1532.190996
602.558156,74.020594,-9696.697840,1072.533697
602.558480,-296.082377,-9474.636058,1762.019645
602.558805,2072.576638,-11177.109724,2834.553343
602.559129,3552.988522,-11695.253884,3294.210641
602.559453,3701.029710,-10881.027347,3677.258390
602.559778,3108.864956,-9474.636058,3600.648841
602.560102,2960.823768,-9474.636058,3447.429741
602.560426,2368.659014,-10362.883188,3370.820191
602.560750,962.267725,-10140.821405,2987.772442
602.561075,148.041188,-9548.656652,2528.115143
602.561399,0.000000,-8290.306550,1685.410096
602.561723,814.226536,-8290.306550,2068.457845
602.562048,2294.638420,-8956.491898,2451.505594
602.562372,3330.926739,-9030.512492,2221.676944
602.562696,3256.906145,-7846.182985,2298.286494
602.563021,3627.009116,-8068.244768,2604.724693
602.563345,3997.112087,-9252.574275,4136.915689
602.563669,3997.112087,-10584.944971,3830.477490
602.563993,3552.988522,-10807.006753,4136.915689
602.564318,3108.864956,-10658.965565,4290.134789
602.564642,3256.906145,-10807.006753,4136.915689
602.564966,3478.967927,-10955.047942,4366.744339
602.565291,3478.967927,-10214.842000,4136.915689
602.565615,3256.906145,-9400.615463,3370.820191
602.565939,2664.741391,-9178.553681,2221.676944
602.566263,0.000000,-8660.409521,1302.362347
602.566588,-1776.494261,-8512.368333,842.705048
602.566912,-888.247130,-8068.244768,842.705048
602.567236,1628.453072,-7698.141797,995.924147
602.567561,3552.988522,-7772.162391,2374.896044
602.567885,4737.318029,-9104.533087,3064.381992
602.568209,5255.462188,-9622.677246,3753.867940
602.568533,5255.462188,-9400.615463,3294.210641
602.568858,4367.215058,-9104.533087,3600.648841
602.569182,3330.926739,-10658.965565,4060.306139
602.569506,2960.823768,-12361.439231,4443.353888
602.569831,3330.926739,-10807.006753,4290.134789
602.570155,2812.782580,-9178.553681,2987.772442
602.570479,962.267725,-9844.739029,2451.505594
602.570803,-962.267725,-11103.089130,1072.533697
602.571128,-2146.597232,-9474.636058,-919.314598
602.571452,-3627.009116,-6809.894666,-1378.971896
602.571776,-4515.256246,-7254.018232,-1072.533697
602.572101,-1924.535449,-8512.368333,-766.095498
602.572425,1850.514855,-8734.430116,76.609550
602.572749,4959.379811,-8142.265362,1532.190996
602.573073,6957.935855,-8216.285956,2451.505594
602.573398,5995.668130,-9918.759623,1762.019645
602.573722,4959.379811,-11325.150913,2604.724693
602.574046,4663.297435,-9770.718434,2911.162892
602.574370,3775.050304,-9992.780217,2528.115143
602.574695,2146.597232,-11917.315666,1455.581446
602.575019,0.000000,-13175.665768,536.266849
602.575343,0.000000,-11695.253884,1072.533697
602.575667,148.041188,-10658.965565,229.828649
602.575992,-296.082377,-10658.965565,-1455.581446
602.576316,-1184.329507,-9030.512492,-1838.629195
602.576640,-1332.370696,-8142.265362,-1685.410096
602.576965,-740.205942,-9104.533087,-1762.019645
602.577289,666.185348,-9992.780217,-2221.676944
602.577613,2368.659014,-9252.574275,-459.657299
602.577937,3997.112087,-9918.759623,766.095498
602.578262,6143.709319,-10584.944971,1762.019645
602.578586,6291.750507,-9474.636058,2374.896044
602.578910,4737.318029,-10140.821405,2451.505594
602.579234,1702.473667,-12213.398043,2374.896044
602.579559,148.041188,-12657.521608,2528.115143
602.579883,-1036.288319,-10732.986159,2528.115143
602.580207,-1628.453072,-9992.780217,2145.067394
602.580531,-666.185348,-9844.739029,689.485948
602.580856,1036.288319,-9104.533087,-536.266849
602.581180,1628.453072,-7402.059420,-536.266849
602.581504,148.041188,-6439.791695,-1608.800546
602.581828,-1036.288319,-6883.915261,-1838.629195
602.582153,0.000000,-7105.977043,-1225.752797
602.582477,2590.720797,-8290.306550,0.000000
602.582801,3775.050304,-8660.409521,1915.238745
602.583125,3701.029710,-9400.615463,1302.362347
602.583450,2886.803174,-9696.697840,2757.943793
602.583774,3997.112087,-9696.697840,3677.258390
602.584098,5255.462188,-10436.903782,4136.915689
602.584422,3478.967927,-11177.109724,4213.525239
602.584747,370.102971,-10881.027347,2528.115143
602.585071,-2072.576638,-10955.047942,1532.190996
602.585395,-2516.700203,-9548.656652,0.000000
602.585719,-1702.473667,-8364.327145,-766.095498
602.586044,-1258.350101,-9252.574275,-1378.971896
602.586368,-962.267725,-9474.636058,-1149.143247
602.586692,-740.205942,-8660.409521,-1685.410096
602.587017,-814.226536,-9770.718434,-153.219100
602.587341,-740.205942,-10066.800811,536.266849
602.587665,1332.370696,-9696.697840,536.266849
602.587989,3034.844362,-10214.842000,2068.457845
602.588314,4737.318029,-9696.697840,3064.381992
602.588638,4441.235652,-11029.068536,2834.553343
602.588962,2442.679609,-11843.295072,2604.724693
602.589286,740.205942,-10584.944971,2681.334243
602.589611,-1036.288319,-9696.697840,2068.457845
602.589935,-3034.844362,-8734.430116,536.266849
602.590259,-4663.297435,-9104.533087,-459.657299
602.590583,-4515.256246,-9696.697840,-459.657299
602.590908,-1850.514855,-8586.388927,-842.705048
602.591232,1036.288319,-8808.450710,-536.266849
602.591556,2220.617826,-8734.430116,306.438199
602.591880,3108.864956,-8734.430116,1072.533697
602.592205,3034.844362,-9622.677246,0.000000
602.592529,2886.803174,-10214.842000,536.266849
602.592853,518.144159,-11843.295072,1455.581446
602.593177,-740.205942,-12213.398043,76.609550
602.593502,-1480.411884,-10584.944971,383.047749
602.593826,-1850.514855,-9992.780217,536.266849
602.594150,-740.205942,-9992.780217,689.485948
602.594474,444.123565,-10214.842000,1072.533697
602.594799,1110.308913,-10732.986159,1762.019645
602.595123,1628.453072,-7846.182985,1225.752797
602.595447,1998.556043,-6957.935855,536.266849
602.595771,1480.411884,-8068.244768,76.609550
602.596096,1332.370696,-8586.388927,536.266849
602.596420,1480.411884,-9474.636058,306.438199
602.596744,222.061783,-8882.471304,0.000000
602.597069,-2072.576638,-8142.265362,-1072.533697
602.597393,-3849.070898,-8290.306550,-1455.581446
602.597717,-4293.194464,-9178.553681,-2221.676944
602.598041,-3701.029710,-10214.842000,-1072.533697
602.598366,-2442.679609,-10140.821405,-995.924147
602.598690,-1554.432478,-9474.636058,153.219100
602.599014,-518.144159,-7846.182985,919.314598
602.599338,2368.659014,-7698.141797,76.609550
602.599663,3330.926739,-8808.450710,766.095498
602.599987,3404.947333,-10214.842000,153.219100
602.600311,2442.679609,-9548.656652,-383.047749
602.600635,962.267725,-9474.636058,-612.876398
602.600960,148.041188,-10066.800811,-995.924147
602.601284,0.000000,-11473.192101,-1532.190996
602.601608,-444.123565,-11917.315666,-2374.896044
602.601932,-1702.473667,-11621.233289,-2987.772442
602.602257,-1850.514855,-10807.006753,-2451.505594
602.602581,-1554.432478,-9844.739029,-2757.943793
602.602905,-1036.288319,-9844.739029,-1838.629195
602.603229,-592.164754,-9770.718434,-1608.800546
602.603554,0.000000,-9622.677246,-1915.238745
602.603878,-444.123565,-10288.862594,-1378.971896
602.604202,-444.123565,-10214.842000,-689.485948
602.604526,592.164754,-9400.615463,-459.657299
602.604851,1998.556043,-10288.862594,-612.876398
602.605175,2220.617826,-10881.027347,-536.266849
602.605499,888.247130,-11399.171507,-612.876398
602.605823,-740.205942,-11103.089130,-2145.067394
602.606148,-1110.308913,-10214.842000,-2221.676944
602.606472,-1184.329507,-11695.253884,-1762.019645
602.606796,-518.144159,-12361.439231,-1762.019645
602.607121,-296.082377,-10881.027347,-766.095498
602.607445,-1406.391290,-10436.903782,-383.047749
602.607769,-1554.432478,-9992.780217,536.266849
602.608093,-888.247130,-10955.047942,612.876398
602.608418,-666.185348,-10658.965565,689.485948
602.608742,-148.041188,-8660.409521,153.219100
602.609066,370.102971,-7105.977043,-689.485948
602.609390,888.247130,-6883.915261,0.000000
602.609715,1554.432478,-8586.388927,383.047749
602.610039,1850.514855,-9400.615463,612.876398
602.610363,1110.308913,-8068.244768,919.314598
602.610687,-962.267725,-7550.100608,0.000000
602.611012,-1924.535449,-7031.956449,-306.438199
602.611336,-962.267725,-7328.038826,0.000000
602.611660,-592.164754,-9178.553681,766.095498
602.611984,-740.205942,-8882.471304,1225.752797
602.612309,-592.164754,-9252.574275,1225.752797
602.612633,-444.123565,-8882.471304,1532.190996
602.612957,0.000000,-8512.368333,1302.362347
602.613281,370.102971,-9030.512492,459.657299
602.613606,-592.164754,-9622.677246,0.000000
602.613930,-2072.576638,-9844.739029,0.000000
602.614254,-2220.617826,-10658.965565,-76.609550
602.614578,-370.102971,-10436.903782,689.485948
602.614903,1258.350101,-11251.130318,919.314598
602.615227,1406.391290,-11621.233289,842.705048
602.615551,1110.308913,-10881.027347,-229.828649
602.615875,444.123565,-10436.903782,0.000000
602.616200,444.123565,-10362.883188,76.609550
602.616524,1184.329507,-10658.965565,1455.581446
602.616848,1776.494261,-10658.965565,1378.971896
602.617173,1258.350101,-9474.636058,1225.752797
602.617497,222.061783,-9030.512492,383.047749
602.617821,0.000000,-9252.574275,0.000000
602.618145,518.144159,-9622.677246,383.047749
602.618470,962.267725,-10214.842000,842.705048
602.618794,222.061783,-8882.471304,153.219100
602.619118,148.041188,-8734.430116,-459.657299
602.619442,592.164754,-8882.471304,-153.219100
602.619767,2442.679609,-9992.780217,0.000000
602.620091,3108.864956,-11029.068536,229.828649
602.620415,1480.411884,-10140.821405,536.266849
602.620739,370.102971,-10140.821405,0.000000
602.621064,74.020594,-10807.006753,383.047749
602.621388,814.226536,-10732.986159,766.095498
602.621712,0.000000,-10807.006753,766.095498
602.622036,-1480.411884,-10288.862594,1072.533697
602.622361,-2812.782580,-9326.594869,459.657299
602.622685,-2368.659014,-9178.553681,153.219100
602.623009,-1184.329507,-8512.368333,0.000000
602.623333,-888.247130,-8512.368333,383.047749
602.623658,-592.164754,-8512.368333,0.000000
602.623982,-666.185348,-7328.038826,-919.314598
602.624306,-888.247130,-6957.935855,0.000000
602.624630,0.000000,-7698.141797,0.000000
602.624955,740.205942,-9104.533087,0.000000
602.625279,148.041188,-9696.697840,-229.828649
602.625603,-296.082377,-8882.471304,-229.828649
602.625927,74.020594,-8734.430116,153.219100
602.626252,592.164754,-9474.636058,459.657299
602.626576,1628.453072,-10732.986159,1149.143247
602.626900,1850.514855,-11103.089130,766.095498
602.627225,1036.288319,-9770.718434,0.000000
602.627549,-370.102971,-9548.656652,-153.219100
602.627873,-518.144159,-9992.780217,-766.095498
602.628197,0.000000,-9844.739029,-842.705048
602.628522,-296.082377,-10066.800811,-1149.143247
602.628846,-814.226536,-10288.862594,-612.876398
602.629170,-1850.514855,-10362.883188,-1838.629195
602.629494,-1628.453072,-10658.965565,-1838.629195
602.629819,-1184.329507,-10362.883188,-995.924147
602.630143,-592.164754,-10510.924376,-1072.533697
602.630467,-666.185348,-9844.739029,-1149.143247
602.630791,-888.247130,-9548.656652,-612.876398
602.631116,-1184.329507,-9770.718434,-995.924147
602.631440,-222.061783,-9252.574275,-919.314598
602.631764,370.102971,-9918.759623,-383.047749
602.632088,370.102971,-10362.883188,-459.657299
602.632413,74.020594,-10066.800811,-1072.533697
602.632737,-296.082377,-10288.862594,-1149.143247
602.633061,444.123565,-10214.842000,-1225.752797
602.633385,814.226536,-10510.924376,-995.924147
602.633710,1332.370696,-10807.006753,-995.924147
602.634034,1332.370696,-9696.697840,-612.876398
602.634358,1184.329507,-9474.636058,-1455.581446
602.634682,1258.350101,-9474.636058,-995.924147
602.635007,1406.391290,-10584.944971,-459.657299
602.635331,1406.391290,-10881.027347,-306.438199
602.635655,296.082377,-9252.574275,-153.219100
602.635979,-1184.329507,-8512.368333,-229.828649
602.636304,-1184.329507,-9104.533087,0.000000
602.636628,-962.267725,-9548.656652,229.828649
602.636952,-592.164754,-9992.780217,383.047749
602.637277,-962.267725,-9326.594869,0.000000
602.637601,-1628.453072,-9104.533087,-689.485948
602.637925,-592.164754,-8808.450710,-306.438199
602.638249,1628.453072,-8808.450710,76.609550
602.638574,2220.617826,-9104.533087,0.000000
602.638898,1184.329507,-9326.594869,766.095498
602.639222,-148.041188,-9622.677246,612.876398
602.639546,-148.041188,-10214.842000,1225.752797
602.639871,1036.288319,-10140.821405,1149.143247
602.640195,1480.411884,-9474.636058,1685.410096
602.640519,444.123565,-8956.491898,1915.238745
602.640843,370.102971,-9400.615463,1378.971896
602.641168,-296.082377,-9474.636058,1532.190996
602.641492,-814.226536,-8364.327145,536.266849
602.641816,-1406.391290,-8586.388927,536.266849
602.642140,-1850.514855,-9252.574275,0.000000
602.642465,-1184.329507,-9104.533087,766.095498
602.642789,-518.144159,-9400.615463,2298.286494
602.643113,222.061783,-9548.656652,1302.362347
602.643437,444.123565,-9474.636058,766.095498
602.643762,-592.164754,-8882.471304,0.000000
602.644086,-962.267725,-8734.430116,-153.219100
602.644410,-1480.411884,-9622.677246,-306.438199
602.644734,-962.267725,-9548.656652,536.266849
602.645059,592.164754,-9770.718434,1455.581446
602.645383,814.226536,-10362.883188,1838.629195
602.645707,666.185348,-9622.677246,612.876398
602.646031,-296.082377,-8660.409521,153.219100
602.646356,-888.247130,-9844.739029,-536.266849
602.646680,74.020594,-10807.006753,76.609550
602.647004,296.082377,-11399.171507,995.924147
602.647329,-740.205942,-9918.759623,1149.143247
602.647653,-1480.411884,-9474.636058,0.000000
602.647977,-1110.308913,-10214.842000,-459.657299
