#time,accel_x,accel_y,accel_z
923.501572,74.020594,-9622.677246,-459.657299
923.501897,148.041188,-9548.656652,-153.219100
923.502221,0.000000,-9548.656652,-383.047749
923.502545,0.000000,-9918.759623,306.438199
923.502869,0.000000,-9622.677246,-459.657299
923.503194,0.000000,-9622.677246,0.000000
923.503518,0.000000,-9844.739029,-229.828649
923.503842,-444.123565,-9918.759623,-229.828649
923.504166,-370.102971,-9622.677246,-153.219100
923.504491,0.000000,-9474.636058,76.609550
923.504815,148.041188,-9326.594869,0.000000
923.505139,74.020594,-9548.656652,0.000000
923.505464,0.000000,-9918.759623,76.609550
923.505788,0.000000,-9696.697840,0.000000
923.506112,-518.144159,-9474.636058,229.828649
923.506436,-370.102971,-9622.677246,0.000000
923.506761,-148.041188,-9844.739029,-153.219100
923.507085,-296.082377,-9474.636058,0.000000
923.507409,0.000000,-9622.677246,0.000000
923.507734,0.000000,-9474.636058,306.438199
923.508058,0.000000,-10066.800811,-229.828649
923.508382,-148.041188,-9844.739029,0.000000
923.508706,-296.082377,-9622.677246,-306.438199
923.509031,0.000000,-9696.697840,0.000000
923.509355,-222.061783,-9326.594869,-383.047749
923.509679,0.000000,-9326.594869,-153.219100
923.510003,-148.041188,-9548.656652,-229.828649
923.510328,0.000000,-9844.739029,0.000000
923.510652,0.000000,-9622.677246,-306.438199
923.510976,0.000000,-9474.636058,0.000000
923.511301,0.000000,-9548.656652,0.000000
923.511625,592.164754,-9548.656652,-229.828649
923.511949,296.082377,-9696.697840,153.219100
923.512273,222.061783,-9548.656652,-229.828649
923.512598,518.144159,-10436.903782,0.000000
923.512922,0.000000,-9696.697840,-153.219100
923.513246,0.000000,-9474.636058,0.000000
923.513570,0.000000,-9622.677246,-306.438199
923.513895,0.000000,-9326.594869,-459.657299
923.514219,0.000000,-9178.553681,-153.219100
923.514543,222.061783,-9770.718434,153.219100
923.514868,0.000000,-9696.697840,-153.219100
923.515192,-296.082377,-9474.636058,306.438199
923.515516,-148.041188,-9696.697840,306.438199
923.515840,222.061783,-9474.636058,0.000000
923.516165,444.123565,-9844.739029,0.000000
923.516489,0.000000,-9844.739029,-612.876398
923.516813,222.061783,-9770.718434,229.828649
923.517138,-296.082377,-10140.821405,689.485948
923.517462,148.041188,-9918.759623,459.657299
923.517786,-592.164754,-9770.718434,0.000000
923.518110,-1554.432478,-9622.677246,76.609550
923.518435,-1480.411884,-9992.780217,-153.219100
923.518759,-1258.350101,-9770.718434,-459.657299
923.519083,-962.267725,-8660.409521,229.828649
923.519407,-296.082377,-8882.471304,919.314598
923.519732,592.164754,-9400.615463,1072.533697
923.520056,666.185348,-9918.759623,766.095498
923.520380,0.000000,-10140.821405,919.314598
923.520705,-1036.288319,-10584.944971,306.438199
923.521029,-1998.556043,-10658.965565,536.266849
923.521353,-2516.700203,-10510.924376,76.609550
923.521677,-2516.700203,-10584.944971,306.438199
923.522002,-2516.700203,-10658.965565,612.876398
923.522326,-2368.659014,-10362.883188,536.266849
923.522650,-1702.473667,-9474.636058,689.485948
923.522974,-888.247130,-9252.574275,919.314598
923.523299,-148.041188,-8586.388927,1149.143247
923.523623,0.000000,-9178.553681,1149.143247
923.523947,-814.226536,-9252.574275,1608.800546
923.524272,-1850.514855,-9622.677246,1532.190996
923.524596,-2590.720797,-10436.903782,1532.190996
923.524920,-3034.844362,-10807.006753,1225.752797
923.525244,-3404.947333,-10807.006753,1685.410096
923.525569,-3330.926739,-11103.089130,1608.800546
923.525893,-3256.906145,-10732.986159,1378.971896
923.526217,-2368.659014,-9770.718434,2068.457845
923.526542,-1628.453072,-8660.409521,1302.362347
923.526866,-888.247130,-8660.409521,2451.505594
923.527190,518.144159,-8660.409521,2298.286494
923.527514,-148.041188,-8808.450710,2528.115143
923.527839,-814.226536,-9400.615463,2068.457845
923.528163,-1702.473667,-9622.677246,2068.457845
923.528487,-2886.803174,-10510.924376,2068.457845
923.528811,-3552.988522,-10658.965565,2451.505594
923.529136,-4071.132681,-10362.883188,2604.724693
923.529460,-4589.276840,-10436.903782,3140.991542
923.529784,-4589.276840,-10436.903782,3294.210641
923.530109,-4737.318029,-9770.718434,3064.381992
923.530433,-4737.318029,-8956.491898,3064.381992
923.530757,-3997.112087,-9400.615463,3370.820191
923.531081,-2368.659014,-9252.574275,3983.696590
923.531406,0.000000,-9474.636058,4673.182538
923.531730,888.247130,-8586.388927,5286.058936
923.532054,1480.411884,-8364.327145,4519.963438
923.532378,1036.288319,-8364.327145,3983.696590
923.532703,518.144159,-8660.409521,3600.648841
923.533027,-444.123565,-8734.430116,2834.553343
923.533351,-2220.617826,-7698.141797,1072.533697
923.533676,-5033.400406,-7846.182985,306.438199
923.534000,-7105.977043,-10436.903782,995.924147
923.534324,-6143.709319,-11843.295072,1225.752797
923.534648,-5181.441594,-11029.068536,1455.581446
923.534973,-5329.482782,-9252.574275,3447.429741
923.535297,-3034.844362,-8512.368333,3370.820191
923.535621,0.000000,-8512.368333,3217.601092
923.535946,2220.617826,-9104.533087,4366.744339
923.536270,3849.070898,-9548.656652,5592.497135
923.536594,4663.297435,-11029.068536,5439.278036
923.536918,3108.864956,-11103.089130,4903.011187
923.537243,444.123565,-9104.533087,3907.087040
923.537567,-2072.576638,-8068.244768,2451.505594
923.537891,-4515.256246,-8586.388927,153.219100
923.538215,-6883.915261,-8142.265362,-2987.772442
923.538540,-7476.080014,-8586.388927,-1991.848295
923.538864,-6365.771101,-10214.842000,-842.705048
923.539188,-3330.926739,-10807.006753,-1225.752797
923.539513,-2664.741391,-10436.903782,76.609550
923.539837,-3775.050304,-9326.594869,1915.238745
923.540161,-3552.988522,-10066.800811,1149.143247
923.540485,-3701.029710,-11251.130318,995.924147
923.540810,-1406.391290,-10584.944971,2757.943793
923.541134,2590.720797,-10955.047942,3600.648841
923.541458,6291.750507,-12139.377449,4596.572988
923.541782,6217.729913,-11695.253884,3524.039291
923.542107,3256.906145,-10140.821405,3217.601092
923.542431,-444.123565,-9252.574275,1225.752797
923.542755,-4515.256246,-8660.409521,-1762.019645
923.543080,-7476.080014,-8216.285956,-3140.991542
923.543404,-7105.977043,-9030.512492,-2681.334243
923.543728,-4293.194464,-10807.006753,-1991.848295
923.544052,-2664.741391,-11029.068536,-1991.848295
923.544377,-4367.215058,-9548.656652,-995.924147
923.544701,-5255.462188,-8290.306550,-536.266849
923.545025,-5551.544565,-9474.636058,-842.705048
923.545350,-5255.462188,-9400.615463,229.828649
923.545674,-2516.700203,-9622.677246,2451.505594
923.545998,1628.453072,-11917.315666,3753.867940
923.546322,3552.988522,-13619.789333,3600.648841
923.546647,2220.617826,-11991.336260,4060.306139
923.546971,74.020594,-9474.636058,3753.867940
923.547295,-962.267725,-8882.471304,1685.410096
923.547619,-888.247130,-9770.718434,1378.971896
923.547944,-1036.288319,-9326.594869,1378.971896
923.548268,-1258.350101,-8364.327145,1225.752797
923.548592,-2368.659014,-8216.285956,766.095498
923.548917,-4367.215058,-7920.203579,612.876398
923.549241,-4589.276840,-7920.203579,459.657299
923.549565,-4145.153275,-7624.121203,229.828649
923.549889,-4737.318029,-7698.141797,0.000000
923.550214,-6291.750507,-9918.759623,1302.362347
923.550538,-6217.729913,-11103.089130,1991.848295
923.550862,-4367.215058,-10881.027347,2298.286494
923.551186,-2368.659014,-9770.718434,2681.334243
923.551511,-1110.308913,-9252.574275,3217.601092
923.551835,-444.123565,-9844.739029,3140.991542
923.552159,-592.164754,-11177.109724,3447.429741
923.552484,0.000000,-11473.192101,3907.087040
923.552808,1036.288319,-10732.986159,4673.182538
923.553132,1184.329507,-9918.759623,3294.210641
923.553456,-1924.535449,-9770.718434,2757.943793
923.553781,-4737.318029,-10510.924376,3064.381992
923.554105,-4885.359217,-10732.986159,2834.553343
923.554429,-3701.029710,-10955.047942,2298.286494
923.554754,-3701.029710,-8660.409521,2451.505594
923.555078,-4367.215058,-7105.977043,2604.724693
