#time,accel_x,accel_y,accel_z
433.711926,9474.636058,-9474.636058,4673.182538
433.712250,9474.636058,-10584.944971,3907.087040
433.712574,7105.977043,-11473.192101,1455.581446
433.712899,3404.947333,-11473.192101,-1072.533697
433.713223,222.061783,-11843.295072,-842.705048
433.713548,-888.247130,-13397.727550,0.000000
433.713872,-444.123565,-13027.624579,1149.143247
433.714196,-888.247130,-10510.924376,1378.971896
433.714521,-1924.535449,-7402.059420,306.438199
433.714845,-1628.453072,-6217.729913,0.000000
433.715169,-1110.308913,-6513.812290,-153.219100
433.715494,74.020594,-5477.523971,-689.485948
433.715818,-222.061783,-4737.318029,1302.362347
433.716142,814.226536,-6217.729913,2451.505594
433.716467,2664.741391,-9104.533087,2298.286494
433.716791,2664.741391,-10288.862594,1378.971896
433.717115,2442.679609,-11251.130318,459.657299
433.717440,2516.700203,-12509.480420,-612.876398
433.717764,1924.535449,-13175.665768,-1608.800546
433.718088,888.247130,-12509.480420,-689.485948
433.718413,518.144159,-11917.315666,-766.095498
433.718737,1110.308913,-11695.253884,-306.438199
433.719062,1184.329507,-11695.253884,689.485948
433.719386,1998.556043,-10807.006753,842.705048
433.719710,2590.720797,-9474.636058,1225.752797
433.720035,2664.741391,-9252.574275,1608.800546
433.720359,2516.700203,-9548.656652,1991.848295
433.720683,2368.659014,-10288.862594,1532.190996
433.721008,1406.391290,-10066.800811,919.314598
433.721332,1184.329507,-10066.800811,766.095498
433.721656,2368.659014,-10584.944971,766.095498
433.721981,3552.988522,-10066.800811,306.438199
433.722305,3701.029710,-9918.759623,612.876398
433.722629,3330.926739,-10066.800811,1072.533697
433.722954,3701.029710,-9992.780217,1455.581446
433.723278,4515.256246,-10140.821405,2221.676944
433.723602,4811.338623,-9622.677246,3677.258390
433.723927,4737.318029,-10732.986159,4060.306139
433.724251,4219.173869,-11399.171507,4366.744339
433.724575,3330.926739,-11399.171507,4596.572988
433.724900,1924.535449,-11103.089130,4519.963438
433.725224,444.123565,-10066.800811,4290.134789
433.725549,222.061783,-8956.491898,3830.477490
433.725873,666.185348,-8364.327145,3830.477490
433.726197,1184.329507,-7698.141797,4136.915689
433.726522,2294.638420,-7105.977043,3907.087040
433.726846,2442.679609,-6513.812290,4366.744339
433.727170,2442.679609,-6809.894666,3370.820191
433.727495,2664.741391,-7031.956449,3983.696590
433.727819,2886.803174,-7476.080014,4060.306139
433.728143,2220.617826,-8364.327145,4826.401637
433.728468,2146.597232,-9548.656652,5362.668486
433.728792,518.144159,-9548.656652,4903.011187
433.729116,-222.061783,-9400.615463,5056.230287
433.729441,-962.267725,-8216.285956,4443.353888
433.729765,74.020594,-7920.203579,4290.134789
433.730089,1628.453072,-6809.894666,4519.963438
433.730414,2738.761985,-5995.668130,4290.134789
433.730738,2516.700203,-5551.544565,3600.648841
433.731063,3108.864956,-5107.421000,2911.162892
433.731387,2960.823768,-6217.729913,2374.896044
433.731711,2664.741391,-7994.224174,1378.971896
433.732036,0.000000,-9252.574275,0.000000
433.732360,-2294.638420,-11029.068536,0.000000
433.732684,-3330.926739,-12139.377449,229.828649
