#time,accel_x,accel_y,accel_z
695.195302,-3182.885551,-9104.533087,-229.828649
695.195626,-4145.153275,-9696.697840,-1455.581446
695.195950,-4589.276840,-10584.944971,-1838.629195
695.196274,-4959.379811,-7550.100608,-2911.162892
695.196599,-5107.421000,-8068.244768,-3600.648841
695.196923,-7550.100608,-12065.356855,-2068.457845
695.197247,-6365.771101,-14359.995275,-766.095498
695.197571,-3701.029710,-13323.706956,-919.314598
695.197896,-2368.659014,-8586.388927,919.314598
695.198220,740.205942,-5773.606348,1072.533697
695.198544,3849.070898,-8068.244768,842.705048
695.198868,5403.503377,-9178.553681,995.924147
695.199193,4071.132681,-9030.512492,919.314598
695.199517,2368.659014,-8882.471304,-536.266849
695.199841,1110.308913,-9400.615463,-1455.581446
695.200165,444.123565,-10584.944971,-229.828649
695.200490,666.185348,-11695.253884,-689.485948
695.200814,-296.082377,-12657.521608,-1225.752797
695.201138,-1924.535449,-13249.686362,-1378.971896
695.201462,-1258.350101,-10881.027347,153.219100
695.201787,888.247130,-8956.491898,1225.752797
695.202111,888.247130,-8290.306550,536.266849
695.202435,-888.247130,-7846.182985,306.438199
695.202759,-2220.617826,-7846.182985,-612.876398
695.203084,-2294.638420,-7698.141797,-766.095498
695.203408,-2072.576638,-7179.997637,-1915.238745
695.203732,-1776.494261,-7846.182985,-1302.362347
695.204056,148.041188,-8660.409521,-919.314598
695.204381,1332.370696,-10732.986159,-1225.752797
695.204705,1702.473667,-11399.171507,0.000000
695.205029,814.226536,-10881.027347,689.485948
695.205353,1406.391290,-11473.192101,306.438199
695.205678,1628.453072,-11177.109724,612.876398
695.206002,1628.453072,-10510.924376,1838.629195
695.206326,2812.782580,-10362.883188,1225.752797
695.206650,2664.741391,-8808.450710,1302.362347
695.206975,1776.494261,-8364.327145,919.314598
695.207299,-148.041188,-7846.182985,306.438199
695.207623,-1850.514855,-7698.141797,-459.657299
695.207947,-3404.947333,-8216.285956,-995.924147
695.208272,-4071.132681,-8882.471304,-1455.581446
695.208596,-4071.132681,-9326.594869,-1915.238745
695.208920,-3330.926739,-9992.780217,-995.924147
695.209245,-1850.514855,-11103.089130,-612.876398
695.209569,-222.061783,-11251.130318,-536.266849
695.209893,740.205942,-10881.027347,536.266849
695.210217,1184.329507,-11251.130318,1455.581446
695.210542,1776.494261,-10955.047942,2068.457845
695.210866,2368.659014,-10955.047942,2757.943793
695.211190,2886.803174,-10362.883188,2221.676944
695.211514,2294.638420,-10066.800811,1685.410096
695.211839,518.144159,-9326.594869,1149.143247
695.212163,-518.144159,-9400.615463,229.828649
695.212487,-1924.535449,-9326.594869,-612.876398
