#time,accel_x,accel_y,accel_z
867.467074,8586.388927,-9474.636058,3830.477490
867.467398,4737.318029,-10436.903782,3064.381992
867.467723,962.267725,-9918.759623,2451.505594
867.468047,148.041188,-9992.780217,842.705048
867.468371,-1628.453072,-12213.398043,459.657299
867.468695,-3256.906145,-12435.459826,612.876398
867.469020,-4145.153275,-9400.615463,536.266849
867.469344,-5773.606348,-8734.430116,689.485948
867.469668,-7254.018232,-8586.388927,-1072.533697
867.469992,-8734.430116,-8216.285956,-2221.676944
867.470316,-6661.853478,-9030.512492,-1838.629195
867.470641,-3923.091493,-7550.100608,-995.924147
867.470965,-1998.556043,-6513.812290,-612.876398
867.471289,-1406.391290,-6069.688724,229.828649
867.471613,-1036.288319,-7698.141797,689.485948
867.471938,-814.226536,-11103.089130,-689.485948
867.472262,74.020594,-11103.089130,-1149.143247
867.472586,1628.453072,-9992.780217,842.705048
867.472910,4367.215058,-10732.986159,3217.601092
867.473235,4737.318029,-12287.418637,3524.039291
867.473559,1924.535449,-13101.645173,3064.381992
867.473883,-814.226536,-11769.274478,2911.162892
867.474207,-2072.576638,-11177.109724,1915.238745
867.474531,-2738.761985,-10881.027347,1532.190996
867.474856,-2960.823768,-9326.594869,1991.848295
867.475180,-3627.009116,-8068.244768,1455.581446
867.475504,-4515.256246,-8660.409521,1225.752797
867.475828,-6587.832884,-8512.368333,0.000000
867.476153,-7994.224174,-8660.409521,-919.314598
867.476477,-7772.162391,-9548.656652,-1072.533697
867.476801,-5921.647536,-10732.986159,0.000000
867.477125,-4071.132681,-11547.212695,1608.800546
867.477449,-2072.576638,-11769.274478,3600.648841
867.477774,-962.267725,-12361.439231,3907.087040
867.478098,-1110.308913,-12287.418637,3677.258390
867.478422,74.020594,-11547.212695,4213.525239
867.478746,1850.514855,-11473.192101,5056.230287
867.479071,3256.906145,-12139.377449,6281.983084
867.479395,3478.967927,-11917.315666,6128.763984
867.479719,2146.597232,-10140.821405,6052.154434
867.480043,0.000000,-7254.018232,4979.620737
867.480368,-3404.947333,-6809.894666,2834.553343
867.480692,-5625.565159,-6069.688724,2451.505594
867.481016,-6365.771101,-4293.194464,229.828649
867.481340,-7698.141797,-4589.276840,-919.314598
867.481664,-9474.636058,-8586.388927,536.266849
867.481989,-7624.121203,-10732.986159,1149.143247
867.482313,-5477.523971,-10214.842000,1455.581446
867.482637,-4219.173869,-9178.553681,5669.106685
867.482961,-2294.638420,-8438.347739,4749.792088
867.483286,0.000000,-9178.553681,5132.839837
867.483610,2294.638420,-11843.295072,6665.030833
867.483934,4885.359217,-12583.501014,7584.345430
867.484258,5625.565159,-12361.439231,7890.783629
867.484583,2738.761985,-10658.965565,6511.811733
867.484907,-814.226536,-8364.327145,5975.544884
867.485231,-3552.988522,-7031.956449,3907.087040
867.485555,-5329.482782,-7402.059420,1838.629195
867.485879,-7031.956449,-7031.956449,842.705048
867.486204,-6809.894666,-7105.977043,1072.533697
867.486528,-4589.276840,-6291.750507,1532.190996
867.486852,-3330.926739,-5699.585753,1378.971896
867.487176,-3923.091493,-5477.523971,1072.533697
867.487501,-5625.565159,-6883.915261,-383.047749
867.487825,-7254.018232,-11177.109724,1455.581446
867.488149,-5255.462188,-13323.706956,2834.553343
867.488473,-814.226536,-11843.295072,3140.991542
867.488797,2072.576638,-10214.842000,5209.449386
867.489122,4663.297435,-9918.759623,4366.744339
867.489446,5033.400406,-11177.109724,2451.505594
867.489770,2664.741391,-12065.356855,2221.676944
867.490094,-370.102971,-10807.006753,2374.896044
867.490419,-2590.720797,-10436.903782,2221.676944
867.490743,-3552.988522,-10436.903782,612.876398
867.491067,-3701.029710,-10288.862594,919.314598
867.491391,-2738.761985,-10510.924376,-383.047749
867.491716,-2072.576638,-10658.965565,-1685.410096
867.492040,-3701.029710,-10881.027347,-2221.676944
867.492364,-4737.318029,-9770.718434,-1762.019645
867.492688,-3775.050304,-8734.430116,-995.924147
867.493012,-2812.782580,-8438.347739,-459.657299
867.493337,-2294.638420,-8660.409521,0.000000
867.493661,-1406.391290,-9918.759623,76.609550
867.493985,-370.102971,-11103.089130,229.828649
867.494309,-296.082377,-11325.150913,842.705048
867.494634,0.000000,-10584.944971,1762.019645
867.494958,1332.370696,-9548.656652,1685.410096
867.495282,2146.597232,-10362.883188,536.266849
867.495606,888.247130,-11991.336260,536.266849
867.495930,-740.205942,-12361.439231,612.876398
867.496255,-1480.411884,-11843.295072,76.609550
867.496579,-1036.288319,-10362.883188,-459.657299
867.496903,-296.082377,-7772.162391,-1455.581446
867.497227,740.205942,-7254.018232,-1302.362347
867.497551,-148.041188,-7772.162391,-2221.676944
