#time,accel_x,accel_y,accel_z
350.829606,1776.494261,-10732.986159,-842.705048
350.829930,0.000000,-11695.253884,-1225.752797
350.830254,-1628.453072,-12361.439231,306.438199
350.830578,-3034.844362,-12213.398043,1149.143247
350.830902,-3701.029710,-11103.089130,459.657299
350.831226,-4737.318029,-7772.162391,0.000000
350.831550,-3701.029710,-5921.647536,-842.705048
350.831874,-1554.432478,-5551.544565,-1072.533697
350.832198,1258.350101,-5921.647536,306.438199
350.832522,3404.947333,-6957.935855,1225.752797
350.832846,4589.276840,-8956.491898,2834.553343
350.833169,5033.400406,-11103.089130,2987.772442
350.833493,3997.112087,-11917.315666,1532.190996
350.833817,2516.700203,-13249.686362,919.314598
350.834141,888.247130,-13841.851115,-536.266849
350.834465,222.061783,-13767.830521,-1302.362347
350.834789,0.000000,-12731.542202,-1149.143247
350.835113,0.000000,-11325.150913,-1302.362347
350.835437,148.041188,-10658.965565,-1225.752797
350.835761,-814.226536,-8808.450710,-995.924147
350.836085,-1258.350101,-8216.285956,-459.657299
350.836409,-2072.576638,-8364.327145,-306.438199
350.836733,-2294.638420,-7328.038826,-612.876398
350.837056,-2146.597232,-7402.059420,-612.876398
350.837380,-888.247130,-8142.265362,-383.047749
350.837704,962.267725,-8882.471304,306.438199
350.838028,2516.700203,-9696.697840,153.219100
350.838352,2442.679609,-9992.780217,0.000000
350.838676,3034.844362,-10955.047942,612.876398
350.839000,2368.659014,-12139.377449,459.657299
350.839324,2220.617826,-12065.356855,-76.609550
350.839648,1332.370696,-11695.253884,-1225.752797
350.839972,370.102971,-10732.986159,-1072.533697
350.840296,222.061783,-10510.924376,-1149.143247
350.840620,148.041188,-9918.759623,-689.485948
350.840943,370.102971,-9178.553681,-306.438199
350.841267,0.000000,-8956.491898,229.828649
350.841591,-444.123565,-9548.656652,306.438199
350.841915,-148.041188,-9474.636058,766.095498
350.842239,888.247130,-9030.512492,1302.362347
350.842563,1850.514855,-8290.306550,1838.629195
350.842887,2072.576638,-8512.368333,1302.362347
350.843211,1850.514855,-8734.430116,536.266849
350.843535,444.123565,-8660.409521,-153.219100
350.843859,-592.164754,-9030.512492,-919.314598
350.844183,-2220.617826,-9400.615463,-1072.533697
350.844507,-2664.741391,-9104.533087,-1072.533697
350.844830,-2368.659014,-8438.347739,-536.266849
350.845154,-1554.432478,-8734.430116,0.000000
350.845478,-148.041188,-8364.327145,229.828649
350.845802,1776.494261,-9030.512492,1915.238745
350.846126,2812.782580,-9252.574275,2374.896044
350.846450,3627.009116,-9622.677246,2681.334243
350.846774,3701.029710,-10140.821405,3217.601092
350.847098,3034.844362,-10807.006753,3064.381992
350.847422,1554.432478,-11991.336260,1915.238745
350.847746,0.000000,-11769.274478,995.924147
350.848070,-1184.329507,-11621.233289,383.047749
350.848394,-2072.576638,-11399.171507,0.000000
350.848717,-1850.514855,-11177.109724,0.000000
350.849041,-1998.556043,-10066.800811,306.438199
350.849365,-1924.535449,-9104.533087,919.314598
350.849689,-962.267725,-8882.471304,1225.752797
350.850013,-296.082377,-8216.285956,2145.067394
350.850337,962.267725,-8290.306550,2528.115143
350.850661,1776.494261,-8882.471304,3064.381992
350.850985,1850.514855,-8734.430116,3140.991542
350.851309,1258.350101,-8660.409521,3294.210641
350.851633,518.144159,-8586.388927,2681.334243
350.851957,-740.205942,-9030.512492,1685.410096
350.852280,-1998.556043,-9474.636058,919.314598
350.852604,-2146.597232,-9770.718434,306.438199
350.852928,-1850.514855,-9622.677246,76.609550
350.853252,-1258.350101,-9104.533087,536.266849
350.853576,-888.247130,-8438.347739,229.828649
350.853900,-1406.391290,-8660.409521,-459.657299
350.854224,-1406.391290,-8512.368333,842.705048
350.854548,-814.226536,-8512.368333,919.314598
350.854872,-740.205942,-8438.347739,1302.362347
350.855196,0.000000,-9104.533087,842.705048
350.855520,0.000000,-9474.636058,536.266849
350.855844,148.041188,-9474.636058,-229.828649
350.856167,222.061783,-9548.656652,-689.485948
350.856491,0.000000,-9918.759623,-1149.143247
350.856815,-222.061783,-10436.903782,-1915.238745
350.857139,74.020594,-10510.924376,-1991.848295
350.857463,444.123565,-10362.883188,-2221.676944
350.857787,1110.308913,-10807.006753,-1991.848295
350.858111,1998.556043,-11103.089130,-1915.238745
350.858435,2664.741391,-11251.130318,-1532.190996
350.858759,2812.782580,-10584.944971,-1455.581446
350.859083,2812.782580,-10955.047942,-1149.143247
350.859407,2590.720797,-11029.068536,-689.485948
350.859731,1850.514855,-10658.965565,-995.924147
350.860054,740.205942,-10881.027347,-1685.410096
350.860378,-222.061783,-10510.924376,-2451.505594
350.860702,-592.164754,-10881.027347,-2604.724693
350.861026,-370.102971,-10436.903782,-2834.553343
350.861350,74.020594,-9844.739029,-2604.724693
350.861674,666.185348,-9770.718434,-2834.553343
350.861998,592.164754,-9326.594869,-2528.115143
350.862322,148.041188,-9104.533087,-2068.457845
350.862646,0.000000,-9992.780217,-1991.848295
350.862970,-296.082377,-9918.759623,-1608.800546
350.863294,-666.185348,-9770.718434,-1455.581446
350.863618,-1628.453072,-9548.656652,-1302.362347
350.863942,-2516.700203,-9474.636058,-1608.800546
350.864266,-2738.761985,-9474.636058,-1225.752797
350.864590,-2812.782580,-9400.615463,-1532.190996
350.864915,-2886.803174,-9030.512492,-1532.190996
350.865239,-2442.679609,-9104.533087,-1302.362347
350.865563,-1554.432478,-8956.491898,-842.705048
350.865887,-370.102971,-8660.409521,-766.095498
350.866211,592.164754,-8586.388927,0.000000
350.866535,1110.308913,-9104.533087,-153.219100
350.866859,1998.556043,-9474.636058,383.047749
350.867183,1554.432478,-9548.656652,153.219100
350.867507,1332.370696,-10066.800811,76.609550
350.867831,1110.308913,-10436.903782,0.000000
350.868156,444.123565,-10510.924376,459.657299
350.868480,-222.061783,-10140.821405,383.047749
350.868804,-666.185348,-9474.636058,766.095498
350.869128,-740.205942,-9548.656652,919.314598
350.869452,-740.205942,-9030.512492,1225.752797
350.869776,-592.164754,-8956.491898,995.924147
350.870100,-444.123565,-8660.409521,1149.143247
350.870424,0.000000,-8882.471304,1532.190996
350.870748,0.000000,-8956.491898,1302.362347
350.871072,444.123565,-9400.615463,1455.581446
350.871397,370.102971,-9030.512492,1608.800546
350.871721,-296.082377,-9474.636058,766.095498
350.872045,-740.205942,-9474.636058,1685.410096
350.872369,-1184.329507,-9918.759623,842.705048
350.872693,-1258.350101,-9918.759623,842.705048
350.873017,-1406.391290,-9918.759623,766.095498
350.873341,-1332.370696,-9844.739029,1302.362347
350.873665,-962.267725,-9622.677246,1302.362347
350.873989,-740.205942,-9326.594869,1225.752797
350.874314,-666.185348,-9252.574275,1915.238745
350.874638,0.000000,-9178.553681,1685.410096
350.874962,74.020594,-9474.636058,1532.190996
350.875286,518.144159,-9400.615463,1608.800546
350.875610,1036.288319,-9474.636058,1149.143247
350.875934,888.247130,-9400.615463,1149.143247
350.876258,1184.329507,-9548.656652,612.876398
350.876582,666.185348,-9474.636058,0.000000
350.876906,518.144159,-9474.636058,536.266849
350.877230,296.082377,-9696.697840,0.000000
350.877555,222.061783,-10066.800811,-383.047749
350.877879,518.144159,-9844.739029,0.000000
350.878203,740.205942,-9918.759623,153.219100
350.878527,1036.288319,-9918.759623,0.000000
350.878851,1036.288319,-9992.780217,842.705048
350.879175,1258.350101,-10288.862594,612.876398
350.879499,1406.391290,-10140.821405,76.609550
350.879823,1184.329507,-10214.842000,229.828649
350.880147,1184.329507,-10066.800811,76.609550
350.880471,1036.288319,-10288.862594,0.000000
350.880796,1036.288319,-10436.903782,-459.657299
350.881120,740.205942,-9844.739029,-383.047749
350.881444,0.000000,-9030.512492,-612.876398
350.881768,222.061783,-9326.594869,-536.266849
350.882092,-148.041188,-9474.636058,-1149.143247
350.882416,-370.102971,-9400.615463,-919.314598
350.882740,-814.226536,-9400.615463,-766.095498
350.883064,-1110.308913,-8734.430116,-612.876398
350.883388,-1554.432478,-8512.368333,-842.705048
350.883712,-962.267725,-8956.491898,-383.047749
350.884037,-1332.370696,-8734.430116,-1225.752797
350.884361,-1480.411884,-8364.327145,-766.095498
350.884685,-1184.329507,-8586.388927,-766.095498
350.885009,-1184.329507,-8956.491898,-1149.143247
350.885333,-962.267725,-9178.553681,-1378.971896
350.885657,-962.267725,-9548.656652,-1149.143247
350.885981,-592.164754,-9252.574275,-1072.533697
350.886305,-296.082377,-9844.739029,-1225.752797
350.886629,0.000000,-10214.842000,-1532.190996
350.886954,296.082377,-10807.006753,-1149.143247
350.887278,592.164754,-10955.047942,-1072.533697
350.887602,740.205942,-11399.171507,-842.705048
350.887926,592.164754,-11103.089130,-536.266849
350.888250,518.144159,-10584.944971,-612.876398
350.888574,592.164754,-10807.006753,-153.219100
350.888898,74.020594,-10584.944971,0.000000
350.889222,74.020594,-10288.862594,-612.876398
350.889546,74.020594,-10436.903782,-459.657299
350.889870,148.041188,-10362.883188,-612.876398
350.890195,0.000000,-10066.800811,-383.047749
350.890519,0.000000,-10140.821405,-229.828649
350.890843,-592.164754,-9548.656652,0.000000
350.891167,-444.123565,-9622.677246,-612.876398
350.891491,-1480.411884,-9326.594869,-459.657299
350.891815,-888.247130,-9622.677246,-383.047749
350.892139,-1184.329507,-9696.697840,-306.438199
