#time,accel_x,accel_y,accel_z
9200.267262,296.082377,-9474.636058,-153.219100
9200.267586,222.061783,-9474.636058,-383.047749
9200.267910,222.061783,-9622.677246,-612.876398
9200.268234,0.000000,-9696.697840,-153.219100
9200.268558,0.000000,-9696.697840,-383.047749
9200.268882,0.000000,-9622.677246,-536.266849
9200.269206,222.061783,-9770.718434,76.609550
9200.269530,444.123565,-9548.656652,0.000000
9200.269854,222.061783,-9400.615463,0.000000
9200.270178,0.000000,-9474.636058,-153.219100
9200.270502,296.082377,-9474.636058,-229.828649
9200.270826,370.102971,-9696.697840,0.000000
9200.271150,74.020594,-9548.656652,0.000000
9200.271474,-148.041188,-9622.677246,-383.047749
9200.271798,-148.041188,-9622.677246,0.000000
9200.272122,0.000000,-9622.677246,-229.828649
9200.272446,370.102971,-9844.739029,229.828649
9200.272770,0.000000,-9696.697840,76.609550
9200.273094,0.000000,-9770.718434,0.000000
9200.273418,0.000000,-9770.718434,0.000000
9200.273742,0.000000,-9770.718434,0.000000
9200.274066,-222.061783,-9622.677246,0.000000
9200.274390,0.000000,-9844.739029,-153.219100
9200.274714,74.020594,-9696.697840,153.219100
9200.275038,0.000000,-9548.656652,0.000000
9200.275361,-296.082377,-9252.574275,383.047749
9200.275685,-444.123565,-9770.718434,-229.828649
9200.276009,-814.226536,-9548.656652,-306.438199
9200.276333,-222.061783,-9474.636058,0.000000
9200.276657,-296.082377,-9474.636058,76.609550
9200.276981,0.000000,-9548.656652,0.000000
9200.277305,0.000000,-9622.677246,76.609550
9200.277629,74.020594,-9474.636058,153.219100
9200.277953,148.041188,-9474.636058,76.609550
9200.278277,0.000000,-9474.636058,76.609550
9200.278601,-222.061783,-9918.759623,76.609550
9200.278925,-444.123565,-9622.677246,-306.438199
9200.279249,0.000000,-9918.759623,-229.828649
9200.279573,74.020594,-9918.759623,0.000000
9200.279897,74.020594,-9992.780217,306.438199
9200.280221,0.000000,-9844.739029,-842.705048
9200.280545,222.061783,-9474.636058,0.000000
9200.280869,222.061783,-9474.636058,0.000000
9200.281193,148.041188,-9622.677246,0.000000
9200.281517,296.082377,-9844.739029,-459.657299
