#time,accel_x,accel_y,accel_z
569.392688,-444.123565,-9474.636058,612.876398
569.393012,-370.102971,-9622.677246,-383.047749
569.393336,-370.102971,-9474.636058,0.000000
569.393660,-148.041188,-9918.759623,0.000000
569.393984,-222.061783,-9622.677246,0.000000
569.394308,0.000000,-9548.656652,229.828649
569.394632,0.000000,-9622.677246,-229.828649
569.394956,-148.041188,-9548.656652,-229.828649
569.395280,0.000000,-9474.636058,-153.219100
569.395604,-222.061783,-9400.615463,-306.438199
569.395928,-222.061783,-9548.656652,-153.219100
569.396252,-222.061783,-9918.759623,-153.219100
569.396576,0.000000,-9696.697840,0.000000
569.396900,0.000000,-9770.718434,0.000000
569.397224,74.020594,-9474.636058,306.438199
569.397548,370.102971,-9474.636058,76.609550
569.397872,74.020594,-9622.677246,0.000000
569.398196,444.123565,-9992.780217,229.828649
569.398520,0.000000,-9770.718434,0.000000
569.398844,0.000000,-9696.697840,0.000000
569.399169,0.000000,-9770.718434,0.000000
569.399493,0.000000,-9548.656652,76.609550
569.399817,74.020594,-9918.759623,0.000000
569.400141,74.020594,-9474.636058,153.219100
569.400465,148.041188,-9696.697840,306.438199
569.400789,148.041188,-9770.718434,0.000000
569.401113,148.041188,-9696.697840,0.000000
569.401437,74.020594,-9770.718434,0.000000
569.401761,0.000000,-9696.697840,76.609550
569.402085,148.041188,-9474.636058,-153.219100
569.402409,0.000000,-9548.656652,0.000000
569.402733,148.041188,-9696.697840,0.000000
569.403057,-370.102971,-9474.636058,0.000000
569.403381,-296.082377,-9622.677246,-153.219100
569.403705,0.000000,-9918.759623,-153.219100
569.404029,0.000000,-9770.718434,-306.438199
569.404353,222.061783,-9622.677246,459.657299
569.404677,0.000000,-9400.615463,-229.828649
569.405001,222.061783,-9770.718434,0.000000
569.405325,0.000000,-9918.759623,153.219100
569.405649,-148.041188,-9548.656652,0.000000
569.405973,-148.041188,-9696.697840,-229.828649
569.406297,-296.082377,-9696.697840,0.000000
569.406621,0.000000,-9474.636058,153.219100
569.406945,444.123565,-9622.677246,153.219100
569.407269,518.144159,-9992.780217,383.047749
569.407593,222.061783,-9844.739029,229.828649
569.407918,-296.082377,-10214.842000,0.000000
569.408242,-1480.411884,-9844.739029,-536.266849
569.408566,-1628.453072,-9252.574275,-229.828649
